"Indicator","Data Source","PUBLISH STATES","Year","WHO region","Country","Beverage Types","Display Value","Numeric","Low","High","Comments"
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2002","Europe","Cyprus","Spirits","3.34","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2003","Europe","Estonia","Spirits","6.11","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2004","Europe","Denmark","All","11.27","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2001","Europe","Slovakia","Spirits","4.56","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2010","Europe","France","Spirits","2.7","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1997","Europe","Slovenia","Other alcoholic beverages","0.35","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1995","Europe","Slovakia","All","12.55","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2003","Europe","Malta","All","6.32","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2004","Europe","Italy","All","8.32","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2006","Europe","Andorra","Wine","7.86","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2004","Europe","Italy","Beer","1.72","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1993","Europe","Slovenia","Spirits","1.15","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2011","Europe","Belgium","Other alcoholic beverages","0.06","","","",""
